Open time,FIROUSDT,DEXEUSDT,ERNUSDT,HARDUSDT,STMXUSDT,DIAUSDT,PNTUSDT,UMAUSDT,SFPUSDT,MLNUSDT,DATAUSDT,PONDUSDT,ANKRUSDT,DENTUSDT,LINAUSDT,SUNUSDT,ARDRUSDT,DOCKUSDT,CTSIUSDT,KMDUSDT,OGNUSDT,SCUSDT,BELUSDT,CELOUSDT,IOTXUSDT,LTOUSDT,OXTUSDT,QTUMUSDT,ZENUSDT,BANDUSDT
2025-09-12 22:00:00,,6.965,,,,0.7436,,1.414,0.4812,8.3,0.01616,0.00874,0.01567,0.000777,,0.02108,0.08823,,0.0817,,0.0667,0.003053,0.2607,0.3188,0.02766,,0.0552,2.618,7.644,0.772
2025-09-12 23:00:00,,6.97,,,,0.7488,,1.412,0.4824,8.37,0.01633,0.00874,0.01577,0.000785,,0.0212,0.08873,,0.0822,,0.0672,0.003055,0.2636,0.3204,0.02795,,0.0555,2.63,7.687,0.775
2025-09-13 00:00:00,,6.988,,,,0.751,,1.414,0.4868,8.41,0.01633,0.00876,0.01583,0.000786,,0.02124,0.08874,,0.0826,,0.0673,0.003052,0.2636,0.3204,0.02806,,0.0557,2.631,7.722,0.778
2025-09-13 01:00:00,,6.991,,,,0.7589,,1.416,0.4873,8.41,0.01638,0.00874,0.0158,0.000787,,0.02119,0.08944,,0.0831,,0.0677,0.003066,0.2635,0.3219,0.02818,,0.0557,2.619,7.739,0.778
2025-09-13 02:00:00,,6.999,,,,0.7564,,1.414,0.4853,8.37,0.0163,0.00873,0.01576,0.000786,,0.02114,0.0893,,0.0827,,0.0671,0.003059,0.2618,0.3203,0.02815,,0.0555,2.598,7.787,0.77
2025-09-13 03:00:00,,7.003,,,,0.7579,,1.412,0.486,8.38,0.01645,0.00875,0.01581,0.000791,,0.0212,0.08941,,0.0828,,0.0681,0.003069,0.2643,0.3209,0.02813,,0.0556,2.596,7.792,0.773
2025-09-13 04:00:00,,7.018,,,,0.7602,,1.412,0.4874,8.39,0.01658,0.00877,0.01587,0.000794,,0.02129,0.08958,,0.0823,,0.0681,0.003068,0.2648,0.322,0.02817,,0.0557,2.618,7.856,0.775
2025-09-13 05:00:00,,7.011,,,,0.7587,,1.404,0.486,8.36,0.01651,0.00876,0.01581,0.000793,,0.02128,0.08936,,0.0823,,0.0683,0.003062,0.2653,0.3196,0.02813,,0.0557,2.609,7.804,0.771
2025-09-13 06:00:00,,6.989,,,,0.7605,,1.405,0.4864,8.34,0.0167,0.00877,0.01583,0.000794,,0.02127,0.0893,,0.0824,,0.0681,0.003057,0.2658,0.3205,0.02825,,0.0557,2.615,7.791,0.775
2025-09-13 07:00:00,,7.016,,,,0.7609,,1.409,0.486,8.36,0.01662,0.00878,0.01585,0.000806,,0.02141,0.08932,,0.0828,,0.0679,0.003062,0.2655,0.3207,0.02831,,0.0559,2.614,7.832,0.774
